id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Saul;Klocko;Cyrus_Dibbert@hotmail.com;Ghana back-end National;2019-11-27T05:12:38;90682;11005
2;Donnie;Farrell;Hertha.Abbott86@yahoo.com;Games;2019-11-27T00:35:05;53408;41741
3;Jazmin;Ernser;Blanca.Gleichner@hotmail.com;Gloves sky blue Oklahoma;2019-11-27T03:09:02;36362;6489
4;Wanda;Funk;Delia.Fritsch71@hotmail.com;Plastic;2019-11-26T12:53:50;3688;26678
5;Leonard;Wolf;Hallie27@yahoo.com;Investor Public-key;2019-11-27T09:21:55;53093;48945
6;Isai;Yost;Deangelo.McLaughlin76@yahoo.com;Ergonomic transmitter;2019-11-27T04:00:57;47030;63230
7;Wilmer;Nader;Kailee79@yahoo.com;Gloves Bedfordshire Argentine Peso;2019-11-26T16:14:32;59089;32595
8;Marianne;Erdman;Merl.Langosh34@gmail.com;Rustic Quality;2019-11-27T03:18:04;38673;51775
9;Trent;Smitham;Mariah.Hayes20@gmail.com;Tanzania Fiji Dollar Profound;2019-11-27T08:38:37;81722;98216
10;Kaylah;Larkin;Devin.Fisher96@yahoo.com;Virginia THX pink;2019-11-27T06:08:59;34920;70035
